城市,count
北京,172
深圳,136
上海,135
成都,67
广州,65
西安,43
杭州,37
武汉,34
苏州,19
南京,17
郑州,15
长沙,10
济南,9
重庆,7
东莞,7
宁波,6
福州,5
温州,4
天津,4
太原,3
贵阳,3
昆明,3
大连,3
淄博,2
合肥,2
珠海,2
烟台,2
潍坊,2
沈阳,2
厦门,2
中山,2
湖州,1
阿克苏地区,1
呼和浩特,1
汕头,1
连云港,1
嘉兴,1
兰州,1
哈尔滨,1
廊坊,1
梅州,1
桂林,1
泉州,1
洛阳,1
鞍山,1
运城,1
滨州,1
河源,1
曲靖,1
通化,1
海口,1
台州,1
安阳,1
龙岩,1
石家庄,1
无锡,1
青岛,1
盐城,1
咸阳,1
秦皇岛,1
长治,1
临沂,1
徐州,1
辽阳,1
唐山,1
商丘,1
金华,1
扬州,1
