城市,count
北京,111
深圳,89
上海,63
广州,62
成都,37
武汉,18
杭州,18
合肥,12
南京,11
苏州,5
长沙,4
重庆,3
佛山,3
福州,3
厦门,3
珠海,1
桂林,1
青岛,1
济南,1
宁波,1
清远,1
西安,1
郑州,1
