,count,percentage
"1000 , 11000.0",707,0.22762395363811977
"11000.0 , 21000.0",1859,0.598518995492595
"21000.0 , 31000.0",475,0.15292981326464908
"31000.0 , 41000.0",65,0.02092723760463619
