职位,地区,薪资,经历要求,学历,公司名称,其余信息
Python,宁波·海曙区·城隍庙,7-12K,经验不限,本科,止一网络,新零售
Python,长沙·岳麓区·麓谷,8-13K,3-5年,本科,弯弓信息,互联网
python,上海·浦东新区·张江,10-15K·13薪,1-3年,本科,曼光信息科技,电子/半导体/集成电路
Python,沈阳·大东区·津桥,5-7K,1-3年,学历不限,亿得科技,互联网
Python,杭州·余杭区·五常,15-25K·15薪,5-10年,本科,十域科技,移动互联网
Python,北京·海淀区·万泉河,12-15K,1-3年,本科,北京卓诗科技有限公司,电子商务
Python,武汉·蔡甸区·江汉大学,6-8K·13薪,1-3年,硕士,东风院,建筑设计
python,重庆·渝北区·大竹林,150-300元/天,4天/周,硕士,魔镜市场情报,数据服务
Python,深圳·南山区·科技园,10-15K,3-5年,本科,睿服科技,计算机软件
Python,曲靖,4-6K,1-3年,本科,风之野,数据服务
Python,北京,10-15K,经验不限,本科,云孚科技,企业服务
python,北京·海淀区·上地,250-300元/天,4天/周,硕士,百度,互联网
Python,广州·天河区·时尚天河,13-23K·13薪,3-5年,本科,查士丁,计算机服务
Python,北京·大兴区·亦庄,15-22K,1-3年,本科,千乘科技,电子/半导体/集成电路
python,上海·杨浦区·五角场,15-20K·13薪,3-5年,硕士,磐御网络,信息安全
Python,大连·金州区·开发区,5-8K,经验不限,本科,大连睿橙科技有限公司,计算机软件
Python,济南·历下区·奥体,8-13K,1-3年,大专,方寸物造,广告/公关/会展
Python,上海·徐汇区·漕河泾,8-10K,3-5年,本科,剑藤,培训机构
Python,杭州·滨江区·长河,15-30K·13薪,1-3年,本科,华为云计算,计算机服务
Python,成都·郫都区·高新西,11-22K·16薪,1-3年,本科,华为,计算机软件
Python,福州·仓山区·金山,6-11K·13薪,1-3年,大专,无锋网络,企业服务
python开发,合肥·包河区·方兴,8-11K,3-5年,本科,安徽趣程,旅游
Python后端,嘉兴·南湖区·东栅,90-110元/天,5天/周,大专,傲创资产,基金
Python讲师,厦门·湖里区·禾山,12-22K,3-5年,本科,欧米克网络科技,移动互联网
Python讲师,上海·徐汇区·徐家汇,10-15K,经验不限,本科,童程童美,在线教育
python开发,杭州·萧山区·北干,6-11K·14薪,经验不限,本科,云豆豆,通信/网络设备
python开发,南京·江宁区·麒麟镇,13-25K,3-5年,本科,江苏万维艾斯公司,计算机软件
python,汕头·潮阳区·谷饶,8-13K,经验不限,学历不限,启商,电子商务
Python,北京·海淀区·皂君庙,11-20K,3-5年,本科,天创征腾,计算机软件
python,深圳·罗湖区·万象城,14-19K,3-5年,本科,法本,计算机软件
Python,湖州,5-10K,经验不限,本科,微银合创,计算机软件
Python,烟台·莱山区·三滩社区,6-8K,1-3年,本科,烟台风林网络科技,互联网
Python,阿克苏地区·阿克苏市·北大街,15-16K,1-3年,本科,新疆通淼企业管理,其他服务业
Python,上海·长宁区·北新泾,10-12K,1-3年,本科,博世中国 / 集团,智能硬件
Python,温州·鹿城区·新城,5-10K,3-5年,本科,达古科技,计算机软件
Python,呼和浩特·回民区·海亮,3-8K,1-3年,本科,诺通极致,培训机构
Python,潍坊,6-11K,3-5年,本科,华远科技,仪器仪表/工业自动化
Python,宁波·海曙区·南门,8-9K,1-3年,本科,文正科技,计算机服务
Python,兰州·安宁区·费家营,8-10K·13薪,1-3年,本科,兰州中昱,计算机软件
Python,郑州·金水区·省人民医院,4-8K·14薪,经验不限,本科,瀚申,在线教育
Python,郑州·金水区·CBD,5-8K,1年以内,本科,国信投资,互联网金融
Python,太原·万柏林区·下元,4-6K,1-3年,大专,山西华瑞鑫,环保
Python,连云港,7-12K,1-3年,大专,峰秀,互联网
Python,东莞·塘厦镇·花园街,5-10K,1-3年,大专,慧达工科,数据服务
Python,上海·浦东新区·陆家嘴,16-30K·14薪,1-3年,本科,青琰私募基金,基金
Python,深圳·宝安区·宝安中心区,15-30K·14薪,3-5年,本科,微诺,移动互联网
Python,深圳·福田区·车公庙,10-15K,1-3年,本科,汇联金创,数据服务
Python,北京·朝阳区·鸟巢,25-40K·14薪,3-5年,本科,沃东天骏信息技术,电子商务
Python,成都·武侯区·新会展中心,5-10K,1-3年,本科,彧飏,基金
Python,廊坊·三河市·新世界百货燕郊,11-12K·13薪,1-3年,本科,屹石科技,智能硬件
Python,西安·未央区·三桥,1-2K,经验不限,大专,左左右右,计算机软件
Python,北京·丰台区·科技园区,15-16K,3-5年,本科,信达网安,信息安全
Python,北京·朝阳区·奥运村,15-30K·14薪,3-5年,学历不限,北京雷石,互联网
Python,北京·海淀区·白石桥,20-21K·13薪,3-5年,本科,国御,计算机软件
Python,上海·普陀区·长征,8-12K,3-5年,本科,SUBMAIL,通信/网络设备
Python,北京·海淀区·蓟门桥,12-15K,1-3年,本科,数美科技,医疗健康
Python,上海·浦东新区·金桥,20-23K·15薪,1-3年,本科,华为,计算机软件
python,杭州·余杭区·老余杭,200-250元/天,5天/周,本科,未斯,互联网
Python,梅州·梅江区·百花洲,4-7K,经验不限,本科,乐维科技,培训机构
Python,大连·甘井子区·高新园区,7-10K,经验不限,大专,瀚闻资讯,数据服务
急聘Python,淄博·张店区·银泰城,5-7K,1-3年,本科,盈安信息科技有限公司,计算机软件
python开发,北京·海淀区·马连洼,14-16K,3-5年,本科,软通动力,计算机软件
Python,深圳·南山区·科技园,10-15K,1-3年,大专,腾讯,互联网
python,桂林·七星区·三里店广场,12-24K,1-3年,本科,中软国际,计算机软件
python,太原·小店区·平阳,6-10K,1-3年,本科,捷冠,数据服务
python,苏州·苏州工业园区·独墅湖,5-10K,1年以内,学历不限,英瀚时,互联网
Python,泉州·晋江市·东石镇,5-6K,1-3年,本科,有序信息,分类信息
Python,济南·历城区·汉峪金谷,8-13K,1-3年,本科,源鲁,计算机软件
Python,上海·长宁区·淞虹路,15-30K·15薪,1-3年,本科,携程旅行网,互联网
Python,广州·增城区·新塘广场,10-15K,3-5年,本科,广州必呼时代文化...,文化/体育/娱乐
Python,北京·海淀区·北京大学,13-20K,3-5年,本科,慧脑云,数据服务
python,洛阳,100-200元/天,5天/周,大专,皑医科技,医疗健康
python工程师,鞍山·立山区·高新区,10-15K,经验不限,大专,星联云,计算机软件
Python工程师,昆明·官渡区·春城路,5-8K,1-3年,本科,天龙腾云南分公司,计算机软件
Python工程师,上海,250-260元/天,5天/周,,中集飞瞳,智能硬件
python工程师,烟台·福山区·长江路,5-10K,经验不限,本科,星商创新,贸易/进出口
Python程序员,滨州·滨城区·渤海七路,4-7K,1年以内,大专,今翔科技,计算机软件
python工程师,武汉·洪山区·关山,5-9K,1-3年,大专,飞脉科技,数据服务
python工程师,北京,20-40K,3-5年,本科,百度,互联网
python讲师,河源·源城区·沿江,8-9K,1-3年,大专,河源市乐创教育科...,培训机构
Python教师,扬州·广陵区·文昌百汇-珍园,5-8K,经验不限,本科,极客晨星,培训机构
python讲师,济南·历下区·化纤厂路,8-12K,1-3年,大专,云课教育,培训机构
