职位,公司,城市,薪资,经验,学历
c/c++，java，js，python、go通用软件开发工程师,北京外企德科人力资源服务上海有限公司,西安,15k-30k,不限,本科
Java/前端/Python/C++/C/GO/测试等开发工程师,北京外企德科人力资源服务上海有限公司,成都,17k-30k,不限,本科
软件开发（Java/Python/C++/C）,科锐尔人力资源服务（苏州）有限公司,武汉,18k-35k,不限,本科
软件开发（Java/Python/C++/C）,科锐尔人力资源服务（苏州）有限公司,深圳,20k-40k,3-5年,本科
Java/python/前端/C++/C开发—杭州,陕西科锐尔人力资源服务有限公司,杭州,15k-30k,不限,本科
Java/python/前端/C++/C开发—深圳,陕西科锐尔人力资源服务有限公司,深圳,15k-30k,不限,本科
c++/python工程师,领智人力资源管理（深圳）有限公司,上海,25k-50k,不限,本科
python(线上面试 周末双休 易面过）,北京科锐国际人力资源股份有限公司成都分公司,上海,10k-19k,3-5年,大专
JAVA开发 ---（C/Python/Go/JS都有),北京外企德科人力资源服务上海有限公司,杭州,15k-30k,不限,本科
东莞—JAVA/JS/C/C++/Python/go/测试,北京外企德科人力资源服务上海有限公司,东莞,15k-30k,不限,本科
c/c++，java，js，python、go通用软件开发工程师,北京外企德科人力资源服务上海有限公司,武汉,15k-30k,不限,本科
c/c++，java，js，python、go通用软件开发工程师,北京外企德科人力资源服务上海有限公司,北京,15k-30k,不限,本科
c/c++，java，js，python、go通用软件开发工程师,北京外企德科人力资源服务上海有限公司,深圳,15k-30k,不限,本科
java/python/c/c++/go/js/scala各软件开发,北京外企德科人力资源服务上海有限公司,深圳,16k-29k,不限,本科
Java/前端/python/C++/C/GO/测试等开发工程师,北京外企德科人力资源服务上海有限公司,北京,18k-35k,不限,本科
java/c/c++/python/go/js/web/测试/软件开发/双休,北京外企德科人力资源服务上海有限公司,西安,15k-30k,不限,本科
java/c++/c/python/web前端\测试,北京外企德科人力资源服务上海有限公司,深圳,13k-26k,不限,本科
Python开发（22届/大厂/面试快/高薪）,科锐尔人力资源服务（苏州）有限公司,东莞,18k-35k,不限,本科
Python开发（爬虫/算法）,科锐尔人力资源服务（苏州）有限公司,武汉,18k-35k,不限,本科
java/python/web前端工程师,陕西科锐尔人力资源服务有限公司,西安,15k-30k,3-5年,本科
java/c++/c/python/web前端\测试,北京外企德科人力资源服务上海有限公司,深圳,13k-26k,不限,本科
java/c++/c/python/web前端\测试,北京外企德科人力资源服务上海有限公司,成都,15k-30k,不限,本科
软件开发工程师（java/python/c/c++/go）,北京外企德科人力资源服务上海有限公司,南昌,15k-30k,不限,本科
软件开发工程师（java/python/c/c++/go）,北京外企德科人力资源服务上海有限公司,贵阳,15k-30k,不限,本科
软件开发工程师（java/python/c/c++/go）,北京外企德科人力资源服务上海有限公司,杭州,15k-30k,不限,本科
软件开发岗位（java/python/c/c++/go）,北京外企德科人力资源服务上海有限公司,南京,15k-30k,不限,本科
软件开发工程师（java/Python/c++/c/go）,北京外企德科人力资源服务上海有限公司,南京,15k-30k,不限,本科
软件开发工程师（java/python/c/c++/go）,北京外企德科人力资源服务上海有限公司,武汉,15k-30k,不限,本科
软件开发工程师（java/Python/C/C++/Go）,北京外企德科人力资源服务上海有限公司,成都,15k-30k,不限,本科
软件开发工程师（java/Python/c/c++/go）,北京外企德科人力资源服务上海有限公司,广州,15k-30k,不限,本科
java/c++/c/python/web前端\测试,北京外企德科人力资源服务上海有限公司,成都,15k-30k,不限,本科
java/c++/c/python/web前端\测试,北京外企德科人力资源服务上海有限公司,成都,15k-30k,不限,本科
后端开发！Java/Python/C/C++/Go 大厂急招,科锐尔人力资源服务（苏州）有限公司,西安,20k-40k,不限,本科
Python开发【22届也可投，大厂高薪，周末双休】,科锐尔人力资源服务（苏州）有限公司,武汉,15k-30k,不限,本科
java/c++/c/python/web前端\测试,北京外企德科人力资源服务上海有限公司,东莞,15k-30k,不限,本科
java/c++/c/python/web前端\测试,北京外企德科人力资源服务上海有限公司,东莞,15k-30k,不限,本科
C/C++，java，JS，python，Go，软件测试，数据开发,北京外企德科人力资源服务上海有限公司,西安,15k-30k,不限,本科
C/C++，java，JS，python，Go，软件测试，数据开发,北京外企德科人力资源服务上海有限公司,上海,15k-30k,不限,本科
Java/C/C++/Python/JS/测试/运维,北京外企德科人力资源服务上海有限公司,东莞,15k-30k,不限,本科
java/js/c/c++/python/go/测试工程师,北京外企德科人力资源服务上海有限公司,成都,15k-30k,不限,本科
"各语言开发工程师（Java，c,c++,python,go等等）",北京外企德科人力资源服务上海有限公司,杭州,15k-30k,不限,本科
C/C++/C#/JAVA/python,北京外企德科人力资源服务上海有限公司,武汉,15k-30k,3-5年,本科
java/前端/python/c++/c/测试,北京外企德科人力资源服务上海有限公司,深圳,20k-40k,不限,本科
python开发工程师（双休+五险一金全额）,北京外企德科人力资源服务上海有限公司,北京,15k-30k,1-3年,本科
软件开发（Java、C++、Python）,北京外企德科人力资源服务上海有限公司,北京,15k-30k,不限,本科
java/js/c/c++/python/go/测试工程师,北京外企德科人力资源服务上海有限公司,西安,15k-30k,不限,本科
Java/Python/C++/C/web/Go/测试/安卓,北京外企德科人力资源服务上海有限公司,西安,15k-28k,不限,本科
python软件开发工程师（核心自研、高薪）,科锐尔人力资源服务（苏州）有限公司,西安,18k-36k,不限,本科
Java/Python/C++/C/web/Go/测试/安卓,北京外企德科人力资源服务上海有限公司,成都,15k-30k,不限,本科
Java/Python/C++/C/web/Go/测试/安卓,北京外企德科人力资源服务上海有限公司,深圳,15k-30k,不限,本科
Java/Python/C++/C/web/Go/测试/安卓,北京外企德科人力资源服务上海有限公司,西安,15k-28k,不限,本科
c++/java/python/算法工程/前端工程师(六险一金，双休),北京外企德科人力资源服务上海有限公司,上海,15k-30k,不限,本科
c++/java/python/算法工程/前端工程师(六险一金，双休),北京外企德科人力资源服务上海有限公司,东莞,15k-30k,不限,本科
c++/java/python/算法工程/前端工程师(六险一金，双休),北京外企德科人力资源服务上海有限公司,杭州,15k-30k,不限,本科
c++/java/python/算法工程/前端工程师(六险一金，双休),北京外企德科人力资源服务上海有限公司,成都,15k-30k,不限,本科
c++/java/python/算法工程/前端工程师(六险一金，双休),北京外企德科人力资源服务上海有限公司,南京,15k-30k,不限,本科
c++/java/python/算法工程/前端工程师(六险一金，双休),北京外企德科人力资源服务上海有限公司,西安,15k-30k,不限,本科
c++/java/python/算法工程/前端工程师(六险一金，双休),北京外企德科人力资源服务上海有限公司,北京,15k-30k,不限,本科
软件开发工程师 (java c++ python）,北京外企德科人力资源服务上海有限公司,杭州,15k-30k,不限,本科
软件开发工程师 (java c++ python）,北京外企德科人力资源服务上海有限公司,西安,15k-30k,不限,本科
软件开发工程师 (java c++ python）,北京外企德科人力资源服务上海有限公司,西安,15k-30k,不限,本科
软件开发工程师 (java c++ python),北京外企德科人力资源服务上海有限公司,北京,15k-30k,1-3年,本科
通用研发c/c++/java/js/python/php/go,北京外企德科人力资源服务上海有限公司,西安,15k-30k,不限,本科
软件开发（Java、C++、Python）,北京外企德科人力资源服务上海有限公司,西安,15k-30k,不限,本科
长沙—JAVA/JS/C/C++/Python/go/测试,北京外企德科人力资源服务上海有限公司,长沙,15k-30k,不限,本科
Java/python/c++/测试/web,北京外企德科人力资源服务上海有限公司,北京,15k-30k,不限,本科
Java/C/C++/Python/JS/测试/运维,北京外企德科人力资源服务上海有限公司,深圳,15k-30k,不限,本科
大数据开发（Java/python）,北京外企德科人力资源服务上海有限公司,深圳,15k-30k,不限,本科
Java/C++/Python/Go 软开 软测 算法 数据,北京外企德科人力资源服务上海有限公司,南京,13k-26k,不限,本科
Java/C/Python工程师+14-16薪,北京外企德科人力资源服务上海有限公司,北京,12k-24k,不限,本科
Java/前端/python/c++/c/测试,北京外企德科人力资源服务上海有限公司,上海,15k-30k,不限,本科
Java/前端/python/c++/c/测试,北京外企德科人力资源服务上海有限公司,杭州,13k-26k,不限,本科
c/c++，java，js，python、go通用软件开发工程师,北京外企德科人力资源服务上海有限公司,东莞,15k-30k,3-5年,本科
Java/前端/测试/c/c++/python,北京外企德科人力资源服务上海有限公司,东莞,12k-24k,不限,本科
各软件开发java/python/c/c++/js,北京外企德科人力资源服务上海有限公司,东莞,15k-30k,不限,本科
各软件开发java/python/c/c++/js,北京外企德科人力资源服务上海有限公司,成都,15k-30k,不限,本科
各软件开发java/python/c/c++/js,北京外企德科人力资源服务上海有限公司,广州,15k-30k,不限,本科
各软件开发java/python/c/c++/js,北京外企德科人力资源服务上海有限公司,武汉,15k-30k,不限,本科
各软件开发java/python/c/c++/js,北京外企德科人力资源服务上海有限公司,西安,15k-30k,不限,本科
各软件开发java/python/c/c++/js,北京外企德科人力资源服务上海有限公司,深圳,15k-30k,不限,本科
各软件开发java/python/c/c++/js,北京外企德科人力资源服务上海有限公司,北京,15k-30k,不限,本科
各软件开发java/python/c/c++/js,北京外企德科人力资源服务上海有限公司,杭州,15k-30k,不限,本科
c/ c ++/ java/python/go/web/运维...,北京外企德科人力资源服务上海有限公司,西安,15k-30k,不限,本科
Java/C/C++/Python/JS/测试/运维,北京外企德科人力资源服务上海有限公司,贵阳,15k-30k,不限,本科
Java/C/C++/Python/JS/测试/运维,北京外企德科人力资源服务上海有限公司,成都,15k-30k,不限,本科
Java/C/C++/Python/JS/测试/运维,北京外企德科人力资源服务上海有限公司,杭州,15k-30k,不限,本科
Java/C/C++/Python/JS/测试/运维,北京外企德科人力资源服务上海有限公司,北京,15k-30k,不限,本科
Java/C/C++/Python/JS/测试/运维,北京外企德科人力资源服务上海有限公司,南京,15k-30k,不限,本科
后端/c/c#/c++/java/python/go/js,北京外企德科人力资源服务上海有限公司,深圳,15k-30k,1-3年,本科
软件开发工程师 (java c++ python js ),北京外企德科人力资源服务上海有限公司,成都,15k-30k,1-3年,本科
软件开发工程师 (java c++ python js ),北京外企德科人力资源服务上海有限公司,上海,15k-30k,不限,本科
软件开发工程师 (java c++ python js ),北京外企德科人力资源服务上海有限公司,南京,15k-30k,不限,本科
Java/前端/python/c++/c/数据开发/测试,北京外企德科人力资源服务上海有限公司,武汉,13k-26k,不限,本科
Java/前端/python/c++/c/测试,北京外企德科人力资源服务上海有限公司,北京,14k-28k,不限,本科
Java/python/C++/C/测试/前端/go,北京外企德科人力资源服务上海有限公司,北京,15k-30k,不限,本科
通用研发c/c++/java/js/python/php/go,北京外企德科人力资源服务上海有限公司,上海,15k-30k,不限,本科
java/前端/c/c++/python/go开发工程师,北京外企德科人力资源服务上海有限公司,西安,15k-30k,不限,本科
java/前端/c/c++/python/go开发工程师,北京外企德科人力资源服务上海有限公司,深圳,16k-30k,不限,本科
c/c++/JAVA/Python开发（华为）,北京外企德科人力资源服务上海有限公司,上海,18k-36k,不限,本科
c/c++，java，js，python软件开发测试工程师,北京外企德科人力资源服务上海有限公司,上海,15k-30k,1-3年,本科
C++/C/Java/Python/GO开发工程师,北京外企德科人力资源服务上海有限公司,西安,15k-25k,不限,本科
c++/c/java/python/go/前端开发工程师,北京外企德科人力资源服务上海有限公司,北京,17k-25k,不限,本科
C++/C/Java/Python/GO开发工程师,北京外企德科人力资源服务上海有限公司,东莞,17k-25k,不限,本科
C++/C/Java/Python/GO开发工程师,北京外企德科人力资源服务上海有限公司,成都,17k-25k,不限,本科
C++/C/Java/Python/GO开发工程师,北京外企德科人力资源服务上海有限公司,上海,17k-25k,不限,本科
C++/C/Java/Python/GO开发工程师,北京外企德科人力资源服务上海有限公司,杭州,18k-25k,不限,本科
西安-C++/C/Java/Python/GO/web前端/测试,北京外企德科人力资源服务上海有限公司,北京,17k-25k,不限,本科
北京-C++/C/Java/Python/GO开发工程师,北京外企德科人力资源服务上海有限公司,北京,17k-25k,不限,本科
C++、Java、Web、Python、Go开发工程师,北京外企德科人力资源服务上海有限公司,长沙,17k-25k,不限,本科
c/c++，java，js，python、go通用软件开发工程师,北京外企德科人力资源服务上海有限公司,南京,15k-30k,不限,本科
java/c/c++/python/go/js/web/测试/软件开发/双休,北京外企德科人力资源服务上海有限公司,上海,15k-30k,1-3年,本科
Java/C++/Python/Go 开发 测试 算法 数据,北京外企德科人力资源服务上海有限公司,东莞,14k-28k,不限,本科
Java/C++/Python/Go 测试 算法 数据 分布式 嵌入式,北京外企德科人力资源服务上海有限公司,深圳,14k-28k,不限,本科
Java/Python/c++/Js/Go 分布式/嵌入式（华为研究所）,北京外企德科人力资源服务上海有限公司,武汉,13k-26k,不限,本科
通用软件工程师（Java/C++/Python/Go）—华为研究所,北京外企德科人力资源服务上海有限公司,北京,14k-28k,不限,本科
c/c++，java，js，python、go通用软件开发工程师,北京外企德科人力资源服务上海有限公司,深圳,15k-30k,不限,本科
软件开发工程师（java/c/c++/python/go/）华为研究所,北京外企德科人力资源服务上海有限公司,上海,14k-28k,不限,本科
c/c++，java，js，python、go通用软件开发工程师,北京外企德科人力资源服务上海有限公司,深圳,15k-30k,1-3年,本科
JAVA/C++/C/Python/WEB前端\测试,北京外企德科人力资源服务上海有限公司,杭州,15k-30k,不限,本科
JAVA/C++/C/Python/WEB前端\测试,北京外企德科人力资源服务上海有限公司,西安,15k-30k,不限,本科
JAVA/C++/C/Python/WEB前端\测试,北京外企德科人力资源服务上海有限公司,上海,15k-30k,不限,本科
JAVA/C++/C/Python/WEB前端\测试,北京外企德科人力资源服务上海有限公司,北京,15k-30k,不限,本科
JAVA/C++/C/Python/WEB前端\测试,北京外企德科人力资源服务上海有限公司,深圳,15k-30k,不限,本科
苏州—JAVA/JS/C/C++/Python/go/测试,北京外企德科人力资源服务上海有限公司,苏州,15k-30k,不限,本科
武汉—JAVA/JS/C/C++/Python/go/测试,北京外企德科人力资源服务上海有限公司,武汉,15k-30k,不限,本科
java/python/c/c++/js,北京外企德科人力资源服务上海有限公司,重庆,15k-30k,不限,本科
"开发测试工程师（Java，c,c++,python,oc,go等等）",北京外企德科人力资源服务上海有限公司,苏州,15k-30k,不限,本科
"开发工程师（Java，c,c++,python,oc,go等等）",北京外企德科人力资源服务上海有限公司,西安,15k-30k,不限,本科
Java/Python/C/C++/Go/Js/Scala各软件开发,北京外企德科人力资源服务上海有限公司,深圳,15k-30k,不限,本科
Java/Python/C/C++/Go/Js/Scala各软件开发,北京外企德科人力资源服务上海有限公司,成都,15k-30k,不限,本科
Java/Python/C/C++/Go/Js/Scala各软件开发,北京外企德科人力资源服务上海有限公司,杭州,15k-30k,不限,本科
c/c++，java，js，python、go通用软件开发工程师,北京外企德科人力资源服务上海有限公司,广州,15k-30k,不限,本科
c/c++，java，js，python、go通用软件开发工程师,北京外企德科人力资源服务上海有限公司,上海,15k-30k,不限,本科
c/c++，java，js，python、go通用软件开发工程师,北京外企德科人力资源服务上海有限公司,杭州,15k-30k,不限,本科
c/c++，java，js，python、go通用软件开发工程师,北京外企德科人力资源服务上海有限公司,杭州,15k-30k,不限,本科
C/C++，java，JS，python、Go通用软件开发工程师,北京外企德科人力资源服务上海有限公司,武汉,15k-30k,不限,本科
C/C++，java，JS，python、Go通用软件开发工程师 软件测试,北京外企德科人力资源服务上海有限公司,杭州,15k-30k,不限,本科
C/C++，java，JS，python、Go软件开发工程师，大数据开发,北京外企德科人力资源服务上海有限公司,南京,15k-30k,不限,本科
c/c++，java，js，python、go通用软件开发工程师,北京外企德科人力资源服务上海有限公司,长沙,15k-30k,不限,本科
C/C++，java，JS，python、Go通用软件开发工程师,北京外企德科人力资源服务上海有限公司,深圳,15k-30k,不限,本科
C/C++，java，JS，python、Go通用软件开发工程师,北京外企德科人力资源服务上海有限公司,成都,15k-30k,不限,本科
c/c++，java，js，python、go通用软件开发工程师,北京外企德科人力资源服务上海有限公司,西安,15k-30k,不限,本科
C/C++，java，JS，python、Go软件开发工程师,北京外企德科人力资源服务上海有限公司,上海,15k-30k,不限,本科
C/C++，java，JS，python、Go，软测大数据开发，网络安全,北京外企德科人力资源服务上海有限公司,北京,15k-30k,不限,本科
软件开发工程师C/C++/Python/Java/go/嵌入式/安卓/OS,北京外企德科人力资源服务上海有限公司,长沙,18k-35k,不限,本科
南京—JAVA/JS/C/C++/Python/go/测试,北京外企德科人力资源服务上海有限公司,南京,15k-30k,不限,本科
上海—JAVA/JS/C/C++/Python/go/测试,北京外企德科人力资源服务上海有限公司,上海,15k-30k,不限,本科
北京—JAVA/JS/C/C++/Python/go/测试,北京外企德科人力资源服务上海有限公司,北京,15k-30k,不限,本科
杭州—JAVA/JS/C/C++/Python/go/测试,北京外企德科人力资源服务上海有限公司,杭州,15k-30k,不限,本科
成都—JAVA/JS/C/C++/Python/go/测试,北京外企德科人力资源服务上海有限公司,成都,15k-30k,不限,本科
