职位,公司,城市,薪资,经验,学历
python开发工程师（双休，年终奖2-4个月）,北京外企德科人力资源服务上海有限公司,深圳,18k-35k,不限,本科
c/c++，java，js，python、go通用软件开发工程师,北京外企德科人力资源服务上海有限公司,东莞,15k-30k,不限,本科
c/c++，java，js，python、go通用软件开发工程师,华为技术有限公司,武汉,6k-7k,不限,本科
Python后端专家（成都）,北京特拉库塔科技有限公司,成都,28k-50k,5-10年,本科
Python后端专家（北京）,北京特拉库塔科技有限公司,北京,30k-50k,5-10年,本科
python程序员（自动化开发）,深圳市惠群商业数据技术有限公司,深圳,7k-12k,不限,本科
Technical Support/ Python开发工程师,友邦资讯科技（广州）有限公司,广州,15k-20k,5-10年,本科
Python开发实习生,达而观信息科技（上海）有限公司,上海,4k-6k,在校/应届,本科
python开发实习生,北京聚智国传科技有限公司,北京,3k-6k,不限,本科
Python高级工程师,北京尽调云科技有限公司,北京,20k-25k,5-10年,本科
python后端开发工程师,北京尽调云科技有限公司,北京,10k-20k,1-3年,本科
python、C++编程老师,北京博瑞领创科技有限公司,北京,6k-12k,不限,本科
python后端开发工程师,深圳市捎客转运物流有限公司,深圳,15k-25k,5-10年,本科
python爬虫开发,深圳航路信息服务有限公司,深圳,8k-16k,1-3年,大专
高级python开发工程师,广东赛博威信息科技有限公司,广州,12k-20k,3-5年,本科
c/c++，java，js，python，go，软件测试，数据开发,北京外企德科人力资源服务上海有限公司,西安,15k-30k,不限,本科
java/c/c++/python/go/js/web/测试/软件开发/双休,北京外企德科人力资源服务上海有限公司,西安,15k-30k,不限,本科
高级python开发工程师,广东赛博威信息科技有限公司,广州,12k-20k,3-5年,本科
python爬虫工程师,恩特科信息科技（杭州）有限责任公司,杭州,12k-18k,1-3年,本科
Python数据处理工程师,广东杰纳医药科技有限公司,广州,8k-16k,1-3年,本科
python数据处理工程师,广东杰纳医药科技有限公司,广州,10k-18k,1-3年,本科
python后端开发工程师,泰坦科技（深圳）有限公司,深圳,15k-20k,3-5年,本科
python后端开发工程师,深圳道乐科技有限公司,广州,11k-20k,不限,本科
python数据开发工程师,深圳市吉迩科技有限公司,深圳,15k-20k,3-5年,本科
Python技术专家,丰贺信息科技（上海）有限公司,北京,30k-60k,5-10年,本科
Python工程师（欧美休闲游戏 双休 不加班）,昊盈信息技术（成都）有限公司,成都,9k-18k,1-3年,本科
高级量化开发工程师(Python)【北京/杭州】,北京小龙虾科技有限公司,北京,30k-60k,3-5年,本科
python爬虫工程师,昆山可圈可点信息服务有限公司,苏州,15k-18k,3-5年,大专
python数据分析师英文流利周末双休,中电金信软件有限公司,广州,20k-30k,3-5年,本科
福州Python开发工程师,达而观信息科技（上海）有限公司,福州,10k-15k,1-3年,本科
java/c/c++/python/js/测试/运维,北京外企德科人力资源服务上海有限公司,深圳,15k-30k,不限,本科
c/c++，java，js，python，go，软件测试，数据开发,北京外企德科人力资源服务上海有限公司,成都,15k-30k,不限,本科
python后端开发工程师,湖南同有飞骥科技有限公司,长沙,12k-17k,3-5年,本科
python后端开发工程师,北京小钉贴科技有限公司,北京,8k-9k,3-5年,本科
Python开发（外包-港资-福利好）,中电金信软件有限公司,广州,15k-20k,5-10年,本科
python后端开发工程师,上海趋佳信息科技有限公司,郑州,10k-15k,1-3年,本科
python后端开发工程师,上海趋佳信息科技有限公司,上海,15k-25k,3-5年,本科
python爬虫工程师,北京拓尔思信息技术股份有限公司,北京,9k-16k,不限,本科
软件开发工程师（java/c/c++/python）,华为技术有限公司,西安,20k-40k,3-5年,本科
Python游戏开发 (MJ000451),在线途游（北京）科技有限公司,北京,15k-20k,在校/应届,本科
Python程序员,帆桁科技（上海）有限公司,上海,15k-30k,3-5年,本科
python后端,深圳市爱砂电子商务有限公司,深圳,15k-20k,3-5年,本科
python爬虫工程师,北京邦得鼎盛科技有限公司重庆分公司,重庆,4k-8k,1-3年,本科
AI 算法应用工程师（c++/python）,芯算一体（深圳）科技有限公司,深圳,15k-20k,1-3年,本科
python后端开发工程师,网易（杭州）网络有限公司,杭州,20k-40k,5-10年,本科
c/c++，java，js，python、go通用软件开发工程师,北京外企德科人力资源服务上海有限公司,南京,15k-30k,不限,本科
JAVA/前端/C/C++/Python/go开发工程师,北京外企德科人力资源服务上海有限公司,深圳,15k-30k,不限,本科
python研发工程师,上海趋佳信息科技有限公司,郑州,11k-20k,3-5年,本科
Python &amp; Django开发,郑州聚凡科技有限公司,郑州,8k-12k,1-3年,本科
Python爬虫工程师,成都文舟快创科技有限公司,成都,15k-30k,3-5年,大专
python爬虫工程师,上海亿匹特科技有限公司,上海,10k-20k,1-3年,不限
Python软件工程师,北京远大恒通科技发展有限公司,北京,7k-14k,1-3年,本科
Python 软件工程师,上海麓联智能科技有限公司,上海,18k-30k,不限,本科
Python全栈加人工智能,宝贝乖（北京）科技有限公司,北京,20k-30k,3-5年,本科
python后端开发工程师,郑州聚凡科技有限公司,郑州,8k-16k,3-5年,本科
python算法工程师,欧泰普（上海）科技有限公司,上海,10k-14k,1-3年,本科
高级python开发工程师,成都链安科技有限公司,成都,20k-25k,5-10年,本科
中级python开发工程师,成都链安科技有限公司,成都,15k-18k,3-5年,本科
python 开发工程师（ RPA方向）,畅捷通信息技术股份有限公司,北京,20k-30k,3-5年,本科
Python爬虫,北京千里马网信科技有限公司,北京,15k-22k,3-5年,大专
Java/C/C++/Python/JS/测试/运维,北京外企德科人力资源服务上海有限公司,武汉,15k-30k,不限,本科
python爬虫工程师(年终奖2-4/周末双休，加班双倍）,北京外企德科人力资源服务上海有限公司,深圳,18k-35k,不限,本科
Python爬虫,北京千里马网信科技有限公司,北京,15k-22k,3-5年,大专
python爬虫工程师,北京千里马网信科技有限公司,北京,12k-18k,3-5年,大专
python数据分析师,深圳市吉迩科技有限公司,深圳,15k-20k,3-5年,本科
急聘Python开发工程师,杭州五色云网络技术有限公司,杭州,12k-24k,不限,本科
python c++编程老师,天津童程童美科技有限公司,天津,7k-13k,不限,本科
python爬虫工程师,上海易宝软件有限公司杭州分公司,杭州,11k-16k,1-3年,本科
python后端工程师,杭州奎牛科技有限公司,北京,15k-25k,3-5年,本科
python爬虫工程师,北京智慧星光信息技术有限公司,北京,20k-30k,3-5年,本科
python软件开发工程师,上海宝莱特网络技术有限公司,上海,8k-10k,不限,本科
后台开发工程师（JAVA/GO/C++/PYTHON）,华为技术有限公司,深圳,25k-50k,1-3年,本科
python初级开发工程师,深圳市谷尚信息科技有限公司,深圳,10k-18k,1-3年,本科
外企德科-华为云计算工程师java/c++/python,西安华为技术有限公司,西安,15k-30k,不限,本科
python后端开发工程师,牧原食品股份有限公司,郑州,10k-20k,3-5年,本科
c/c++，java，js，python，go，软件测试，数据开发,北京外企德科人力资源服务上海有限公司,上海,15k-30k,不限,本科
c/c++，java，js，python、go通用软件开发工程师,北京外企德科人力资源服务上海有限公司,武汉,15k-30k,不限,本科
python后端开发实习生,广州甲龙商业有限公司,广州,3k-6k,在校/应届,本科
Python 后台开发工程师,上海媒智科技有限公司,上海,15k-25k,3-5年,本科
c++ python少儿讲师,天津童程童美科技有限公司,天津,7k-12k,不限,本科
Python爬虫实习生,杭州易有料科技有限公司,杭州,3k-5k,在校/应届,本科
python开发 (MJ000087),武汉佰悦互娱科技有限公司,广州,20k-35k,不限,本科
python开发工程师（图形算法经验）,湖南象盒网络科技有限公司,长沙,8k-13k,3-5年,大专
python后端开发工程师,上海安钛飞信息技术有限公司,广州,16k-24k,3-5年,本科
python后端开发工程师,广州发业信息科技有限公司,广州,8k-13k,1-3年,本科
Python开发工程师（RPA开发方向）,广州发业信息科技有限公司,广州,8k-13k,1-3年,大专
python数据分析,深圳市易佰网络科技有限公司武汉分公司,武汉,12k-20k,3-5年,本科
python数据开发实习生,上海仲阳天王星数据科技有限公司,上海,4k-8k,在校/应届,本科
python数据开发实习生,上海仲阳天王星数据科技有限公司,成都,4k-8k,在校/应届,本科
python后端开发工程师,北京肉桂胡椒酱科技有限责任公司,成都,8k-15k,1-3年,大专
c/c++，java，js，python，go，软件测试，数据开发,北京外企德科人力资源服务上海有限公司,深圳,15k-30k,不限,本科
java/c/c++/python/js/测试/运维,北京外企德科人力资源服务上海有限公司,西安,20k-40k,3-5年,本科
python数据开发实习生,上海仲阳天王星数据科技有限公司,深圳,4k-8k,在校/应届,本科
python数据开发工程师,上海仲阳天王星数据科技有限公司,深圳,15k-30k,在校/应届,本科
中高级python开发工程师,北京尚思源农业科技开发有限公司,天津,11k-15k,3-5年,本科
python开发工程师（五险一金双休）,上海安钛飞信息技术有限公司,广州,12k-24k,3-5年,大专
Python Data Engineer,普华永道信息技术（上海）有限公司,上海,12k-24k,不限,本科
python后端开发工程师,北京快乐开工科技有限公司,北京,20k-40k,3-5年,本科
后端开发工程师-Node.js/Python,北京快乐开工科技有限公司,北京,20k-40k,3-5年,本科
Python高级开发工程师,杭州鸿致科技有限公司,杭州,10k-20k,1-3年,本科
Python高级开发工程师,广州玄道科技有限公司,广州,12k-20k,5-10年,本科
Python数据挖掘,青岛永嘎科技有限公司,青岛,5K-10K,1-3年,本科
python后端开发工程师,北京庖丁科技有限公司,西安,10k-15k,不限,本科
視覺Python/算法工程师G00019,上海展才人力资源有限公司,盐城,20k-35k,5-10年,本科
python后端开发工程师,傅利叶动力（北京）科技有限公司,北京,18k-35k,3-5年,本科
python数据开发工程师,上海仲阳天王星数据科技有限公司,上海,15k-30k,在校/应届,本科
Python系统开发实习生,上海仲阳天王星数据科技有限公司,上海,4k-8k,在校/应届,本科
高级Python后端开发,德塔幂方（广州）信息科技有限责任公司,广州,15k-30k,3-5年,本科
python后端开发工程师,重庆哈希智能科技有限公司,重庆,10k-15k,3-5年,本科
java/c/c++/python/js/测试/运维,华为技术有限公司,北京,15k-30k,1-3年,本科
java/c/c++/python/js/测试/运维,华为技术有限公司,西安,15k-30k,1-3年,本科
Python开发工程师（实习）,广州云纳信息科技有限公司,广州,3k-4k,在校/应届,大专
python开发实习生,达而观信息科技（上海）有限公司,北京,5k-8k,在校/应届,本科
scratch、python编程老师 积木,北京博瑞领创科技有限公司,北京,6k-10k,不限,大专
Python&nbsp;后端开发工程师 (MJ000300),翼健（上海）信息科技有限公司,上海,12k-20k,1-3年,本科
Python 后端开发工程师 (MJ000327),翼健（上海）信息科技有限公司,上海,15k-20k,1-3年,本科
python爬虫工程师,上海梭翱信息技术有限公司,上海,16k-20k,1-3年,大专
Python/固件开发工程师,北京丰申科技有限公司,北京,3k-5k,在校/应届,硕士
